1.   CORPULENT

A.	Lean
B.	Gaunt
C.	Emaciated
D.	Obese
2.   BRIEF

A.	Limited
B.	Small
C.	Little
D.	Short
3.   EMBEZZLE

A.	Misappropriate
B.	Balance
C.	Remunerate
D.	Clear
4.   VENT

A.	Opening
B.	Stodge
C.	End
D.	Past tense of go
5.   AUGUST

A.	Common
B.	Ridiculous
C.	Dignified
D.	Petty 	
6.   WARRIOR

A.	Soldier
B.	Sailor
C.	Pirate
D.	Spy
7.   DISTANT

A.	Far
B.	Removed
C.	Reserved
D.	Separate
8.   ADVERSITY

A.	Failure
B.	Helplessness
C.	Misfortune
D.	Crisis
9.   FAKE

A.	Original
B.	Imitation
C.	Trustworthy
D.	Loyal
10.   INDICT

A.	Condemn
B.	Reprimand
C.	Accuse
D.	Allege
